OBJECTID,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock
12,EnviroGlas Products Inc.,"309 Gold Street, Garland, TX, 75042", ,(972) 276-9451, ,http://enviroglasproducts.com/,562920,Glass Recycling Facility,Glass
13,Gallo Glass Company,"605 S Santa Cruz Ave, Modesto, CA, 95354", ,(209) 341-4527, ,https://www.galloglass.com/,562920,Glass Recycling Facility,Glass
14,"Glass Recyclers, Inc.","6465 Wyoming St., Dearborn, MI, 48126", ,(800) 949-8305,glassrec@aol.com,http://www.glassrecyclers.net/,562920,Glass Recycling Facility,Glass
15,GlassBlast,"2652 Dow Ave., Tustin, CA, 92780", ,(855) 291-6996,rik@glassblast.com,https://www.glassblast.com/,562920,Glass Recycling Facility,Glass
16,"Heritage Glass, Inc.","130 West 700 South Bldg E, Smithfield, UT, 84335", ,(435) 563-5585,info@hgglass.com,https://www.hgglass.com/,562920,Glass Recycling Facility,Glass
17,Horry County Solid Waste Authority,"1886 Highway 90, Conway, SC, 29526", ,(843) 347-1651,info@solidwasteauthority.org,http://www.solidwasteauthority.org/,562920,Glass Recycling Facility,Glass
18,"Kramer Industries, Inc.","140 Ethel Road West, Unit U, Piscataway, NJ, 08854-5951", ,(732) 650-9599,sales@kramerindustriesonline.com,http://www.kramerindustriesonline.com/,562920,Glass Recycling Facility,Glass
19,Momentum Recycling,"658 South 4050 West, Salt Lake City, UT, 84104", ,(801) 355-0334,info@momentumrecycling.com,http://company.momentumrecycling.com/,562920,Glass Recycling Facility,Glass
20,Parallel Products,"401 Industry Rd., Louisville, KY, 40208", ,(800) 883-9100,CustomerServices@parallelproducts.com,http://www.parallelproducts.com/,562920,Glass Recycling Facility,Glass
21,Pellets LLC,"63 Industrial Drive, North Tonawanda, NY, 14120", ,(716) 693-1750,info@pelletsllc.com,http://pelletsllc.com/,562920,Glass Recycling Facility,Glass
22,Precision Recycling Industries LLC,"19701 Bethel Church Rd. #116, Cornelius, NC, 28031", ,(704) 294-0259,brichardson@precisionrecycling.com,http://precisionrecycling.com/,562920,Glass Recycling Facility,Glass
23,Recycle Waste Services,"7901 West Sylvania Avenue, Sylvania, OH, 43560", ,(419) 517-1323, ,http://www.recyclewasteservices.com/,562920,Glass Recycling Facility,Glass
24,Ripple Glass,"450 East 4th Street, Suite 201, Kansas City, MO, 64106", ,(816) 221-4527,info@rippleglass.com,http://www.rippleglass.com/,562920,Glass Recycling Facility,Glass
25,Ruby Lake Glass LLC,"493 State Route 28, Richfield Springs, NY, 13439", ,(607) 435-8158,sales@rubylakeglass.com,https://www.rubylakeglass.com/,562920,Glass Recycling Facility,Glass
26,"Rumpke Consolidated Companies, Inc.","3990 Generation Dr, Cincinnati, OH, 45251", ,(800) 828-8171,%websupport@rumpke.com,https://www.rumpke.com/,562920,Glass Recycling Facility,Glass
27,South Central Solid Waste Authority,"2855 W. Amador Avenue, Las Cruces, NM, 88005", ,(575) 528-3800, ,https://scswa.net/,562920,Glass Recycling Facility,Glass
28,Specialty Glass Inc,"305 Marlborough St., Oldsmar, FL, 34677", ,(813) 855-5779,info@sgiglass.com,http://sgiglass.com/,562920,Glass Recycling Facility,Glass
29,Strategic Materials,"17220 Katy Freeway, Suite 150, Houston, TX, 77094", ,(281) 647-2700,info@strategicmaterials.com,http://www.strategicmaterials.com/,562920,Glass Recycling Facility,Glass
30,Trivitro Corporation,"150 Nickerson Street, Suite 107, Seattle, WA, 98109", ,(425) 251-8340, ,https://trivitro.com/,562920,Glass Recycling Facility,Glass
31,"Vitro Minerals, Inc.","95 Pinnacle Drive, Jackson, TN, 38301", ,(678) 729-9333,technicalsales@vitrominerals.com,http://www.vitrominerals.com/,562920,Glass Recycling Facility,Glass
