OBJECTID,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock
67,Trilemma Inc,"23801 Calabasas Road, Suite 2026, Calabasas, CA, 91302", ,(323) 491-4799, ,www.trilemmain.com,562920,Textiles Recycling Facility,Textiles
68,"Turnkey Enterprises, LLC","801 W. Vulcanite Ave, Alpha, NJ, 8865", ,(908) 213-9202, ,www.turnkey-enterprises.com,562920,Textiles Recycling Facility,Textiles
69,"Uniform Recycling, Inc.","8385 Ironhorse Ct., West Palm Beach, FL, 33412", ,(561) 818-4941, , ,562920,Textiles Recycling Facility,Textiles
70,United One World LLC,"6060 South Loop East, STE-206, Houston, TX, 77033", ,(713) 360-6347, ,www.ragsr.us,562920,Textiles Recycling Facility,Textiles
71,United Southern Waste Material,"2800 W. Illinois, Dallas, TX, 75233", ,(214) 467-9100, ,http://www.uswmco.com,562920,Textiles Recycling Facility,Textiles
72,USAgain LLC,"1555 W. Hawthorne Lane, Suite 4W, West Chicago, IL, 60185", ,(630) 293-1230, ,www.usagain.com,562920,Textiles Recycling Facility,Textiles
73,"Vincent Rags, Inc","1933 West 60th Street, Los Angeles, CA, 90047",Los Angeles,(909) 730-1554, ,www.vincentrags.com,562920,Textiles Recycling Facility,Textiles
74,"Whitehouse & Schapiro, LLC","8750 Larkin Road Suite 101, Savage, MD, 20763", ,(410) 356-8003, ,www.webuyrags.com,562920,Textiles Recycling Facility,Textiles
75,Wipeco Inc.,"250 N. Mannhei Rd Unit B, Chicago, IL, 60162", ,(708) 544-7247, ,www.wipeco.com,562920,Textiles Recycling Facility,Textiles
76,"Wiper Central USA, Inc.","4355 Fruitland Ave., Vernon, CA, 90058", ,(323) 588-5959, ,www.wipercentral.com,562920,Textiles Recycling Facility,Textiles
77,"Y-Pers, Inc.","PO Box 9559, Philadelphia, PA, 19124", ,(215) 289-6507, ,www.ypers.com,562920,Textiles Recycling Facility,Textiles
